sr_no,HostTimestamp,NodeTimestamp,X_mg,Y_mg,Z_mg,X_mGa,Y_mGa,Z_mGa,X_dps,Y (dps),Z_dps,move_type
17,335953,42948.0,108.0,-253.0,976.0,-195.0,-475.0,-63.0,0.0,-0.5,2.5,D
18,336014,42955.0,108.0,-253.0,983.0,-189.0,-471.0,-63.0,0.7,-1.7,1.5,D
19,336042,42961.0,120.0,-247.0,983.0,-202.0,-471.0,-63.0,0.7,-1.7,1.5,D
20,336103,42967.0,112.0,-249.0,969.0,-193.0,-478.0,-66.0,1.0,-1.8,0.6,D
21,336164,42973.0,110.0,-248.0,974.0,-192.0,-475.0,-66.0,0.0,-0.4,0.7,D
22,336193,42980.0,112.0,-246.0,958.0,-196.0,-471.0,-60.0,-1.1,0.0,0.7,D
23,343456,43886.0,-140.0,-211.0,917.0,-183.0,-445.0,-96.0,-28.4,-3.7,21.3,D
24,343513,43892.0,-93.0,-189.0,830.0,-174.0,-444.0,-94.0,-8.1,2.7,5.8,D
25,343542,43898.0,-120.0,-185.0,909.0,-171.0,-447.0,-99.0,7.4,14.0,-2.1,D
26,343603,43905.0,-90.0,-192.0,1014.0,-183.0,-444.0,-99.0,14.0,0.4,-5.1,D
27,343664,43911.0,-34.0,-185.0,1111.0,-195.0,-456.0,-105.0,10.7,2.6,-7.8,D
28,343692,43917.0,-4.0,-166.0,1077.0,-196.0,-445.0,-97.0,-2.8,1.3,-2.8,D
29,343753,43923.0,-49.0,-155.0,995.0,-193.0,-439.0,-99.0,-6.9,-0.6,2.3,D
30,343814,43930.0,-22.0,-152.0,1005.0,-193.0,-432.0,-100.0,-3.5,-7.0,2.6,D
31,343842,43936.0,-74.0,-174.0,964.0,-193.0,-448.0,-94.0,-4.6,-1.4,5.1,D
32,343904,43942.0,-63.0,-178.0,992.0,-189.0,-442.0,-90.0,-0.2,-2.4,2.5,D
33,343964,43948.0,-49.0,-181.0,989.0,-186.0,-447.0,-100.0,0.0,0.7,2.0,D
34,343992,43955.0,-71.0,-188.0,997.0,-195.0,-442.0,-97.0,0.2,-1.3,1.2,D
35,344053,43961.0,-48.0,-180.0,1004.0,-183.0,-447.0,-97.0,2.1,-2.1,-1.1,D
36,344114,43967.0,-51.0,-176.0,994.0,-189.0,-444.0,-103.0,0.2,-0.6,-1.2,D
